,Adverse Event,Age_Grp,Count
0,Abdominal pain,Unknown Age,16
1,Abdominal pain,under 1 year old,0
2,Abdominal pain,1 to 13 years old,13
3,Abdominal pain,13 to 18 years old,60
4,Abdominal pain,18 to 40,68
5,Abdominal pain,18 to 65 years old,17
6,Abdominal pain,over 65 years old,16
7,Hepatic cytolysis,Unknown Age,1
8,Hepatic cytolysis,under 1 year old,3
9,Hepatic cytolysis,1 to 13 years old,1
10,Hepatic cytolysis,13 to 18 years old,27
11,Hepatic cytolysis,18 to 40,34
12,Hepatic cytolysis,18 to 65 years old,41
13,Hepatic cytolysis,over 65 years old,43
14,Vomiting,Unknown Age,41
15,Vomiting,under 1 year old,1
16,Vomiting,1 to 13 years old,24
17,Vomiting,13 to 18 years old,94
18,Vomiting,18 to 40,84
19,Vomiting,18 to 65 years old,64
20,Vomiting,over 65 years old,51
21,Coagulopathy,Unknown Age,1
22,Coagulopathy,under 1 year old,0
23,Coagulopathy,1 to 13 years old,2
24,Coagulopathy,13 to 18 years old,0
25,Coagulopathy,18 to 40,21
26,Coagulopathy,18 to 65 years old,11
27,Coagulopathy,over 65 years old,13
28,Coma,Unknown Age,7
29,Coma,under 1 year old,0
30,Coma,1 to 13 years old,2
31,Coma,13 to 18 years old,15
32,Coma,18 to 40,33
33,Coma,18 to 65 years old,39
34,Coma,over 65 years old,7
35,Hepatitis toxic,Unknown Age,0
36,Hepatitis toxic,under 1 year old,0
37,Hepatitis toxic,1 to 13 years old,0
38,Hepatitis toxic,13 to 18 years old,3
39,Hepatitis toxic,18 to 40,3
40,Hepatitis toxic,18 to 65 years old,2
41,Hepatitis toxic,over 65 years old,0
42,Metabolic acidosis,Unknown Age,6
43,Metabolic acidosis,under 1 year old,0
44,Metabolic acidosis,1 to 13 years old,0
45,Metabolic acidosis,13 to 18 years old,2
46,Metabolic acidosis,18 to 40,29
47,Metabolic acidosis,18 to 65 years old,56
48,Metabolic acidosis,over 65 years old,55
49,Overdose,Unknown Age,129
50,Overdose,under 1 year old,4
51,Overdose,1 to 13 years old,15
52,Overdose,13 to 18 years old,37
53,Overdose,18 to 40,85
54,Overdose,18 to 65 years old,71
55,Overdose,over 65 years old,35
56,Rhabdomyolysis,Unknown Age,1
57,Rhabdomyolysis,under 1 year old,0
58,Rhabdomyolysis,1 to 13 years old,4
59,Rhabdomyolysis,13 to 18 years old,6
60,Rhabdomyolysis,18 to 40,7
61,Rhabdomyolysis,18 to 65 years old,17
62,Rhabdomyolysis,over 65 years old,0
63,Drug-induced liver injury,Unknown Age,21
64,Drug-induced liver injury,under 1 year old,1
65,Drug-induced liver injury,1 to 13 years old,0
66,Drug-induced liver injury,13 to 18 years old,5
67,Drug-induced liver injury,18 to 40,39
68,Drug-induced liver injury,18 to 65 years old,31
69,Drug-induced liver injury,over 65 years old,22
70,Intentional overdose,Unknown Age,50
71,Intentional overdose,under 1 year old,0
72,Intentional overdose,1 to 13 years old,12
73,Intentional overdose,13 to 18 years old,112
74,Intentional overdose,18 to 40,100
75,Intentional overdose,18 to 65 years old,52
76,Intentional overdose,over 65 years old,14
77,Suicide attempt,Unknown Age,37
78,Suicide attempt,under 1 year old,0
79,Suicide attempt,1 to 13 years old,6
80,Suicide attempt,13 to 18 years old,74
81,Suicide attempt,18 to 40,76
82,Suicide attempt,18 to 65 years old,30
83,Suicide attempt,over 65 years old,6
84,Acute hepatic failure,Unknown Age,55
85,Acute hepatic failure,under 1 year old,0
86,Acute hepatic failure,1 to 13 years old,10
87,Acute hepatic failure,13 to 18 years old,10
88,Acute hepatic failure,18 to 40,57
89,Acute hepatic failure,18 to 65 years old,16
90,Acute hepatic failure,over 65 years old,11
91,Cytomegalovirus infection,Unknown Age,0
92,Cytomegalovirus infection,under 1 year old,0
93,Cytomegalovirus infection,1 to 13 years old,0
94,Cytomegalovirus infection,13 to 18 years old,0
95,Cytomegalovirus infection,18 to 40,1
96,Cytomegalovirus infection,18 to 65 years old,0
97,Cytomegalovirus infection,over 65 years old,0
98,Haemorrhage intracranial,Unknown Age,0
99,Haemorrhage intracranial,under 1 year old,0
100,Haemorrhage intracranial,1 to 13 years old,0
