,Adverse Event,GroupBy,Count
0,Abdominal pain,RANBAXY,26
1,Abdominal pain,NOVARTIS,37
2,Abdominal pain,JOHNSON AND JOHNSON,19
3,Abdominal pain,AUROBINDO,41
4,Abdominal pain,APOTEX,6
5,Abdominal pain,VIIV,1
6,Abdominal pain,GLAXOSMITHKLINE,9
7,Abdominal pain,MALLINCKRODT,1
8,Abdominal pain,MYLAN,34
9,Abdominal pain,PERRIGO,2
10,Abdominal pain,B BRAUN,5
11,Abdominal pain,FDA-CTU,1
12,Abdominal pain,FRESENIUS KABI,2
13,Abdominal pain,BAXTER,4
14,Abdominal pain,GRANULES INDIA,1
15,Abdominal pain,ASPIRO PHARMA,1
16,Abdominal pain,LEO PHARM,0
17,Abdominal pain,EMCURE,0
18,Abdominal pain,DEXCEL,0
19,Abdominal pain,TARO,0
20,Abdominal pain,MARKSANS,0
21,Abdominal pain,RISING PHARMACEUTICALS,0
22,Abdominal pain,ZYDUS PHARM,0
23,Abdominal pain,PRINSTON PHARMACEUTICAL,0
24,Abdominal pain,CIPLA,0
25,Abdominal pain,TEVA,0
26,Abdominal pain,LEUCADIA PHARMACEUTICALS,0
27,Abdominal pain,BIONPHARMA,0
28,Abdominal pain,VALU MERCHANDISERS COMPANY,0
29,Abdominal pain,FAMILY DOLLAR,0
30,Hepatic cytolysis,RANBAXY,30
31,Hepatic cytolysis,NOVARTIS,29
32,Hepatic cytolysis,JOHNSON AND JOHNSON,1
33,Hepatic cytolysis,AUROBINDO,42
34,Hepatic cytolysis,APOTEX,0
35,Hepatic cytolysis,VIIV,0
36,Hepatic cytolysis,GLAXOSMITHKLINE,1
37,Hepatic cytolysis,MALLINCKRODT,1
38,Hepatic cytolysis,MYLAN,38
39,Hepatic cytolysis,PERRIGO,0
40,Hepatic cytolysis,B BRAUN,1
41,Hepatic cytolysis,FDA-CTU,0
42,Hepatic cytolysis,FRESENIUS KABI,7
43,Hepatic cytolysis,BAXTER,0
44,Hepatic cytolysis,GRANULES INDIA,0
45,Hepatic cytolysis,ASPIRO PHARMA,0
46,Hepatic cytolysis,LEO PHARM,0
47,Hepatic cytolysis,EMCURE,0
48,Hepatic cytolysis,DEXCEL,0
49,Hepatic cytolysis,TARO,0
50,Hepatic cytolysis,MARKSANS,0
51,Hepatic cytolysis,RISING PHARMACEUTICALS,0
52,Hepatic cytolysis,ZYDUS PHARM,0
53,Hepatic cytolysis,PRINSTON PHARMACEUTICAL,0
54,Hepatic cytolysis,CIPLA,0
55,Hepatic cytolysis,TEVA,0
56,Hepatic cytolysis,LEUCADIA PHARMACEUTICALS,0
57,Hepatic cytolysis,BIONPHARMA,0
58,Hepatic cytolysis,VALU MERCHANDISERS COMPANY,0
59,Hepatic cytolysis,FAMILY DOLLAR,0
60,Vomiting,RANBAXY,45
61,Vomiting,NOVARTIS,70
62,Vomiting,JOHNSON AND JOHNSON,54
63,Vomiting,AUROBINDO,76
64,Vomiting,APOTEX,14
65,Vomiting,VIIV,0
66,Vomiting,GLAXOSMITHKLINE,8
67,Vomiting,MALLINCKRODT,2
68,Vomiting,MYLAN,54
69,Vomiting,PERRIGO,5
70,Vomiting,B BRAUN,8
71,Vomiting,FDA-CTU,4
72,Vomiting,FRESENIUS KABI,11
73,Vomiting,BAXTER,2
74,Vomiting,GRANULES INDIA,1
75,Vomiting,ASPIRO PHARMA,0
76,Vomiting,LEO PHARM,1
77,Vomiting,EMCURE,1
78,Vomiting,DEXCEL,1
79,Vomiting,TARO,1
80,Vomiting,MARKSANS,1
81,Vomiting,RISING PHARMACEUTICALS,0
82,Vomiting,ZYDUS PHARM,0
83,Vomiting,PRINSTON PHARMACEUTICAL,0
84,Vomiting,CIPLA,0
85,Vomiting,TEVA,0
